,pH,N,P,Ca,Mg,K,Na
0,5.4,0.188,215,16.35,7.65,0.72,1.14
1,5.65,0.165,208,12.25,5.15,0.71,0.94
2,5.14,0.26,300,13.02,5.68,0.68,0.6
3,5.14,0.16899999999999998,248,11.92,7.88,1.09,1.01
4,5.14,0.16399999999999998,174,14.17,8.12,0.7,2.17
5,5.1,0.094,129,8.55,6.92,0.81,2.67
6,4.7,0.1,117,8.74,8.16,0.39,3.32
7,4.46,0.11199999999999999,170,9.49,9.16,0.7,3.76
8,4.37,0.11199999999999999,121,8.85,10.35,0.74,5.74
9,4.39,0.057999999999999996,115,4.73,6.91,0.77,5.85
10,4.17,0.078,112,6.29,7.95,0.26,5.3
11,3.89,0.07,117,6.61,9.76,0.41,8.3
12,3.88,0.077,127,6.41,10.96,0.56,9.67
13,4.07,0.046,91,3.82,6.61,0.5,7.67
14,3.88,0.055,91,4.98,8.0,0.23,8.78
15,3.74,0.053,79,5.86,10.14,0.41,11.04
16,5.11,0.247,261,13.25,7.55,0.61,1.86
17,5.46,0.298,300,12.3,7.5,0.68,2.0
18,5.61,0.145,242,9.66,6.76,0.63,1.01
19,5.85,0.18600000000000003,229,13.78,7.12,0.62,3.09
20,4.57,0.102,156,8.58,9.92,0.63,3.67
21,5.11,0.09699999999999999,139,8.58,8.69,0.42,4.7
22,4.78,0.122,214,8.22,7.75,0.32,3.07
23,6.67,0.083,132,12.68,9.56,0.55,8.3
24,3.96,0.059000000000000004,98,4.8,10.0,0.36,6.52
25,4.0,0.05,115,5.06,8.91,0.28,7.91
26,4.12,0.086,148,6.16,7.58,0.16,6.39
27,4.99,0.048,97,7.49,9.38,0.4,9.7
28,3.8,0.049,108,3.82,8.8,0.24,9.57
29,3.96,0.036000000000000004,103,4.78,7.29,0.24,9.67
30,3.93,0.048,109,4.93,7.47,0.14,9.65
31,4.02,0.039,100,5.66,8.84,0.37,10.54
32,5.24,0.19399999999999998,445,12.27,6.27,0.72,1.02
33,5.2,0.256,380,11.39,7.55,0.78,1.63
34,5.3,0.136,259,9.96,8.08,0.45,1.97
35,5.67,0.127,248,9.12,7.04,0.55,1.43
36,4.46,0.087,276,7.24,9.4,0.43,4.17
37,4.91,0.092,158,7.37,10.57,0.59,5.07
38,4.79,0.047,121,6.99,9.91,0.3,5.15
39,5.36,0.095,195,8.59,8.66,0.48,4.17
40,3.94,0.054000000000000006,148,4.85,9.62,0.18,7.2
41,4.52,0.051,115,6.34,9.78,0.34,8.52
42,4.35,0.032,82,5.99,9.73,0.22,7.02
43,4.64,0.065,152,4.43,10.54,0.22,7.61
44,3.82,0.038,105,4.65,9.85,0.18,10.15
45,4.24,0.035,100,4.56,8.95,0.33,10.51
46,4.22,0.03,97,5.29,8.37,0.14,8.27
47,4.41,0.057999999999999996,130,4.58,9.46,0.14,9.28
